DIGITAL_ID,WALKING_MINUTES,RUNNING_MINUTES,CYCLING_MINUTES,WORKOUT_MINUTES,EXERCISE_CALORIES,CODING_HOURS,AI_ASSISTANT_USAGE_HOURS,SOCIAL_MEDIA_HOURS,GAMING_HOURS,READING_HOURS,TV_STREAMING_HOURS,SMARTPHONE_UNLOCKS,NOTIFICATIONS,PRODUCTIVITY_SCORE
102001,118,23,67,64.2,1238,0.7,1.6,5.2,1.2,2.6,4.5,86,233,82.4
102002,34,73,4,52.2,898,1.7,3.8,1.8,5.3,3.6,5.7,24,234,80.5
102003,58,16,88,56.4,1096,8.9,3.5,6.1,4.1,3.2,1.4,78,132,82.5
102004,68,17,85,57.8,1122,6.1,2.0,0.7,1.0,2.2,3.2,95,73,100.0
102005,160,41,91,93.0,1778,9.5,2.3,3.9,4.2,0.1,1.9,23,83,82.7
102006,178,83,38,100.6,1846,10.0,0.0,0.1,4.4,0.3,3.0,35,191,98.5
102007,11,44,22,37.4,660,3.7,0.9,7.7,5.3,0.6,3.3,94,222,51.9
102008,19,81,67,79.2,1422,3.0,,6.0,1.3,1.7,0.2,119,118,80.6
102009,180,16,51,66.0,1288,8.6,3.0,1.3,5.9,0.6,1.4,140,240,84.3
102010,42,72,3,52.8,912,10.0,0.6,2.7,0.9,2.1,4.2,85,54,100.0
102011,125,13,46,51.2,998,6.3,3.5,1.3,3.6,0.9,4.6,155,220,92.1
102012,49,48,20,46.6,836,8.0,2.6,6.1,3.9,3.9,3.4,40,99,83.8
102013,28,28,100,62.4,1192,7.8,0.9,0.5,2.5,4.4,1.6,45,74,100.0
102014,38,3,55,31.4,622,3.6,0.6,6.7,2.9,1.9,2.4,162,97,71.6
102015,170,81,104,124.2,2322,5.7,2.5,7.5,5.3,2.6,0.6,49,55,62.7
102016,177,19,65,72.8,1418,8.3,3.6,5.4,3.9,4.8,5.7,85,55,89.9
102017,150,46,58,80.8,1524,6.9,2.9,1.7,3.0,2.7,5.2,99,183,100.0
102018,171,8,6,41.4,812,0.2,1.4,2.9,0.8,5.0,0.4,32,235,99.8
102019,37,76,48,72.2,1292,3.4,2.3,3.8,0.0,0.7,1.0,20,219,93.7
102020,83,78,15,69.4,1232,1.4,1.2,4.8,0.7,4.3,3.5,175,141,93.0
102021,150,26,16,52.0,988,2.3,4.0,5.3,5.7,2.5,1.4,148,121,62.4
102022,127,14,83,67.0,1312,9.1,3.0,4.4,4.6,0.1,5.6,160,218,77.9
102023,125,18,86,70.2,1368,0.4,2.5,2.8,5.8,4.9,4.5,80,159,75.3
102024,44,89,97,101.0,1842,2.2,1.7,7.1,0.2,4.8,1.6,136,70,89.4
102025,51,51,74,70.4,1306,3.1,2.5,0.7,4.1,1.9,0.0,85,202,88.6
102026,79,25,33,44.0,830,6.2,1.4,3.7,0.3,4.8,4.8,142,242,100.0
102027,177,88,32,101.0,1844,5.3,0.1,6.2,4.7,0.7,2.5,23,43,64.4
102028,123,25,25,49.6,942,2.2,1.6,0.5,2.3,3.4,3.9,160,194,100.0
102029,118,25,65,64.6,1242,1.6,3.7,5.6,0.6,1.0,1.7,55,159,80.8
102030,7,45,62,53.2,974,2.4,2.5,6.6,3.4,1.2,0.9,115,34,65.0
102031,84,48,86,80.0,1504,5.0,0.3,5.3,1.7,,4.1,104,131,92.0
102032,128,81,40,90.2,1642,2.7,3.5,0.1,4.0,1.9,2.7,162,159,90.7
102033,7,52,85,66.6,1228,9.5,1.1,1.4,3.9,0.0,1.4,109,158,93.9
102034,156,2,57,55.2,1100,4.6,1.0,2.7,4.2,2.1,0.8,104,205,83.7
