DIGITAL_ID,AIR_QUALITY_INDEX,PM2_5,PM10,CO2_LEVEL_PPM,UV_INDEX,TEMPERATURE_C,HUMIDITY_PERCENT,NOISE_LEVEL_DB,POLLEN_COUNT,WEATHER,GREEN_SPACE_ACCESS,COMMUTE_TIME_MINUTES,POLLUTION_EXPOSURE_SCORE,ENVIRONMENTAL_RISK
104001,80,52.6,14.7,848,10.0,33.6,26,69.0,260,Cloudy,Excellent,12,71.7,Moderate
104002,183,21.4,11.8,673,3.5,15.7,42,88.0,128,Sunny,Excellent,41,55.1,Moderate
104003,187,131.2,33.2,944,4.7,5.6,94,74.0,326,Sunny,Good,94,41.5,High
104004,228,97.2,60.3,911,9.1,33.9,52,71.0,377,Sunny,Excellent,97,37.2,High
104005,49,28.9,56.5,630,1.8,28.5,59,50.0,481,Foggy,Moderate,63,79.9,Low
104006,28,67.3,217.2,515,9.4,38.8,24,32.0,258,Sunny,Poor,32,72.8,Moderate
104007,83,46.7,74.3,592,2.7,37.2,64,95.0,291,Sunny,Moderate,57,66.2,Moderate
104008,180,111.8,36.8,828,,5.3,60,40.0,418,Windy,Moderate,75,48.3,High
104009,139,70.7,124.6,513,7.5,36.6,27,53.0,434,Cloudy,Excellent,59,55.0,Moderate
104010,71,148.4,190.2,673,10.0,3.8,69,79.0,376,Cloudy,Good,40,52.0,Moderate
104011,108,12.9,152.4,917,6.7,38.2,50,50.0,139,Cloudy,Moderate,66,66.4,Moderate
104012,161,56.5,72.2,900,5.0,33.5,23,54.0,14,Rainy,Moderate,19,55.2,Moderate
104013,222,74.9,127.9,1180,6.3,23.5,85,33.0,387,Rainy,Good,58,41.4,High
104014,72,78.0,160.1,989,2.2,27.1,75,72.0,183,Sunny,Moderate,65,62.5,Moderate
104015,246,50.8,162.9,983,7.6,0.2,24,76.0,480,Windy,Poor,101,33.9,High
104016,206,110.7,150.0,1108,2.1,-3.0,73,52.0,15,Sunny,Good,58,36.9,High
104017,97,131.8,192.9,1047,6.1,11.5,99,89.0,220,Sunny,Good,73,48.2,High
104018,241,141.1,192.7,557,7.1,36.1,20,50.0,389,Sunny,Good,33,25.1,High
104019,60,121.7,131.6,664,9.9,18.3,95,,62,Snowy,Excellent,85,58.5,Moderate
104020,215,128.3,100.3,653,5.0,6.2,92,80.0,240,Rainy,Poor,113,32.9,High
104021,87,84.8,144.7,588,8.5,36.7,80,44.0,484,Snowy,Poor,31,62.5,Moderate
104022,239,124.8,181.8,1076,1.8,6.4,26,87.0,278,Rainy,Moderate,85,24.2,High
104023,27,49.0,11.2,1153,1.7,35.8,49,55.0,332,Sunny,Moderate,119,83.2,Low
104024,21,62.8,218.3,573,5.8,17.6,34,88.0,427,Sunny,Moderate,72,69.0,Moderate
104025,124,51.0,,437,6.6,18.2,23,74.0,256,Cloudy,Good,117,61.7,Moderate
104026,144,72.8,108.8,886,7.0,8.6,82,95.0,184,Sunny,Moderate,16,50.4,Moderate
104027,129,,193.1,778,8.2,40.0,89,64.0,75,Sunny,Moderate,27,55.2,Moderate
104028,105,144.4,57.3,569,3.2,-0.6,57,93.0,26,Windy,Moderate,54,51.6,Moderate
104029,188,50.4,110.1,624,6.8,2.2,66,56.0,24,Rainy,Excellent,79,49.0,High
104030,139,19.2,37.8,996,2.1,26.8,79,60.0,341,Sunny,Good,104,64.8,Moderate
104031,146,81.4,,1094,2.4,37.5,21,41.0,61,Snowy,Good,80,55.2,Moderate
104032,202,13.3,47.2,415,0.7,-0.2,88,74.0,481,Rainy,Moderate,77,52.3,Moderate
104033,35,21.0,86.4,941,8.2,31.7,27,61.0,145,Sunny,Good,92,80.8,Low
104034,240,36.8,88.4,772,5.6,32.1,70,83.0,232,Cloudy,Good,86,39.7,High
104035,81,72.3,218.6,604,2.6,24.1,38,95.0,463,Sunny,Moderate,31,56.3,Moderate
104036,132,67.8,218.9,474,6.1,19.3,50,61.0,348,Sunny,Good,63,51.1,Moderate
104037,195,121.0,34.1,495,3.9,11.1,99,44.0,285,Sunny,Good,13,44.3,High
104038,177,112.2,162.5,964,9.2,12.6,41,84.0,413,Foggy,Poor,37,38.2,High
104039,31,66.8,20.9,734,5.8,28.7,52,70.0,83,Cloudy,Excellent,74,78.4,Low
104040,54,53.4,16.3,796,0.3,-1.7,91,69.0,174,Windy,Excellent,55,76.2,Low
104041,30,50.9,32.1,736,,24.2,56,78.0,405,Sunny,Excellent,101,79.1,Low
104042,83,117.2,212.8,732,0.8,8.9,31,67.0,380,Sunny,Excellent,44,53.7,Moderate
104043,69,12.6,207.6,626,7.7,18.3,88,85.0,169,Windy,Good,10,67.2,Moderate
104044,232,6.9,50.7,731,4.8,22.9,83,63.0,289,Cloudy,Moderate,8,48.6,High
104045,168,120.4,44.0,473,2.7,39.3,44,30.0,446,Windy,Good,7,50.1,Moderate
104046,88,74.2,60.5,616,7.4,24.0,73,39.0,3,Sunny,Good,17,68.3,Moderate
104047,67,24.0,118.3,1139,1.4,6.4,48,69.0,497,Foggy,Excellent,30,72.2,Moderate
104048,39,39.2,129.6,460,,-1.0,32,45.0,286,Cloudy,Good,38,77.3,Low
104049,120,140.2,56.5,730,2.8,26.3,45,75.0,306,Sunny,Moderate,81,51.3,Moderate
104050,214,129.6,168.9,1174,4.0,22.3,41,53.0,49,Rainy,Good,57,32.2,High
104051,191,107.9,75.0,950,7.0,28.6,95,43.0,269,Snowy,Good,51,44.6,High
104052,180,74.9,203.6,507,0.0,18.0,92,68.0,7,Sunny,Excellent,12,41.6,High
104053,220,80.4,147.9,1077,5.2,36.3,29,47.0,356,Foggy,Excellent,80,38.7,High
104054,208,146.4,101.6,1162,9.8,41.0,67,70.0,68,Rainy,Excellent,12,32.9,High
104055,156,145.0,175.9,897,7.5,-3.0,61,85.0,391,Sunny,Moderate,23,37.2,High
104056,87,36.2,181.8,948,4.3,32.2,78,65.0,138,Sunny,Good,109,64.4,Moderate
104057,54,122.6,71.0,467,7.3,-3.2,72,53.0,247,Cloudy,Excellent,78,66.7,Moderate
104058,228,33.6,81.3,677,10.3,17.3,59,58.0,28,Sunny,Good,36,45.1,High
104059,245,36.0,206.6,1043,2.1,18.1,94,51.0,182,Cloudy,Good,25,36.2,High
104060,235,103.0,44.6,417,5.8,29.8,81,40.0,212,Snowy,Good,68,39.1,High
104061,243,63.7,18.9,783,2.6,12.6,25,70.0,422,Rainy,Excellent,27,40.7,High
104062,84,140.1,105.4,708,9.4,36.0,23,78.0,396,Cloudy,Moderate,95,55.0,Moderate
104063,27,17.9,178.3,1020,7.9,12.1,74,40.0,319,Sunny,Moderate,93,80.1,Low
104064,64,79.2,172.1,1146,8.8,12.1,88,81.0,304,Foggy,Good,75,62.3,Moderate
104065,106,138.2,203.1,792,10.4,6.1,22,96.0,18,Sunny,Good,46,44.6,High
104066,194,136.1,122.0,513,2.6,29.2,26,37.0,382,Sunny,Excellent,39,38.9,High
104067,187,27.7,31.0,710,0.5,-1.2,31,60.0,450,Rainy,Moderate,6,55.5,Moderate
104068,95,58.2,133.6,934,3.2,13.2,36,35.0,225,Snowy,Moderate,96,65.7,Moderate
104069,201,94.8,173.5,468,4.4,8.3,86,42.0,229,Foggy,Excellent,75,39.6,High
104070,95,,29.6,544,6.9,6.5,94,35.0,338,Foggy,Good,110,74.5,Moderate
104071,193,145.4,46.3,950,8.8,-2.0,89,96.0,95,Foggy,Poor,108,35.9,High
104072,66,137.6,12.6,937,3.8,4.5,55,56.0,494,Cloudy,Good,80,65.4,Moderate
104073,34,29.2,134.7,1082,5.2,17.3,36,74.0,483,Sunny,Good,56,76.2,Low
104074,124,22.6,196.2,1000,8.6,20.2,20,55.0,114,Rainy,Moderate,21,59.7,Moderate
104075,166,17.4,150.8,590,2.5,8.5,86,33.0,358,Sunny,Good,90,57.2,Moderate
104076,45,136.9,216.2,858,2.4,27.5,99,66.0,179,Sunny,Good,13,58.1,Moderate
104077,71,33.1,23.2,1015,6.5,11.8,97,50.0,372,Sunny,Moderate,56,77.1,Low
104078,112,65.4,199.6,914,4.8,13.4,68,57.0,77,Sunny,Poor,7,56.3,Moderate
104079,169,70.1,181.0,491,10.4,34.1,70,61.0,326,Cloudy,Moderate,26,46.0,High
104080,40,91.9,76.0,1181,3.9,22.6,90,82.0,275,Cloudy,Good,58,69.8,Moderate
104081,70,15.4,214.4,380,8.4,42.7,62,62.0,351,Cloudy,Moderate,40,68.6,Moderate
104082,57,37.9,70.5,572,6.4,13.0,50,55.0,365,Windy,Poor,43,76.2,Low
104083,39,140.1,196.8,1153,0.6,36.4,43,46.0,181,Rainy,Good,22,61.7,Moderate
104084,176,136.7,195.0,615,0.9,31.9,56,85.0,94,Foggy,Excellent,85,33.7,High
104085,198,118.3,169.1,631,2.2,39.5,84,59.0,85,Cloudy,Poor,31,35.8,High
104086,151,7.8,128.3,1137,1.6,42.8,82,34.0,388,Sunny,Excellent,103,62.1,Moderate
104087,74,52.4,35.2,730,3.6,-4.6,75,35.0,94,Sunny,Excellent,100,75.1,Low
104088,218,96.1,121.7,905,6.4,-0.6,93,91.0,334,Rainy,Good,71,34.0,High
104089,111,44.9,84.9,411,6.6,28.7,37,39.0,491,Windy,Good,17,66.5,Moderate
104090,47,136.9,176.4,1062,6.5,14.5,84,99.0,445,Sunny,Moderate,21,56.4,Moderate
104091,23,96.9,169.2,1196,1.3,36.0,48,39.0,144,Windy,Good,65,71.9,Moderate
104092,169,15.4,,870,6.6,-4.4,96,73.0,247,Cloudy,Excellent,22,50.4,Moderate
104093,95,136.8,13.1,420,4.5,35.3,23,85.0,180,Sunny,Moderate,119,57.3,Moderate
104094,192,143.9,179.9,951,9.9,1.8,31,33.0,292,Rainy,Moderate,21,35.9,High
104095,86,16.3,,885,10.0,9.5,75,42.0,18,Cloudy,Moderate,60,68.0,Moderate
104096,105,82.2,175.8,489,8.4,43.5,67,48.0,137,Sunny,Good,52,57.6,Moderate
104097,213,49.0,37.3,665,7.7,-2.4,38,99.0,43,Cloudy,Excellent,20,44.0,High
104098,235,62.0,27.1,689,1.3,12.5,45,91.0,225,Snowy,Moderate,90,39.8,High
104099,181,31.0,14.4,939,0.9,-0.8,57,38.0,432,Cloudy,Excellent,29,59.2,Moderate
104100,110,88.8,142.0,1075,9.2,37.7,99,75.0,344,Sunny,Excellent,69,54.9,Moderate
104101,202,143.9,142.2,877,4.7,30.2,44,85.0,36,Foggy,Moderate,31,30.8,High
104102,124,77.9,217.3,890,5.0,35.0,75,69.0,313,Sunny,Good,18,50.6,Moderate
104103,20,17.0,93.6,765,9.3,21.4,93,96.0,219,Sunny,Good,96,80.1,Low
104104,91,94.9,79.7,816,6.8,12.9,47,91.0,127,Cloudy,Moderate,115,59.1,Moderate
104105,106,54.3,141.1,724,2.0,-4.9,80,75.0,142,Windy,Good,104,59.8,Moderate
104106,185,129.1,183.4,640,2.3,8.9,70,35.0,403,Cloudy,Excellent,120,38.5,High
104107,25,68.0,206.7,392,0.1,20.7,31,58.0,182,Rainy,Good,111,71.2,Moderate
104108,233,33.0,178.7,402,7.8,28.2,27,48.0,396,Foggy,Excellent,54,40.4,High
104109,172,32.7,99.6,1137,5.3,6.4,77,44.0,403,Snowy,Poor,100,55.7,Moderate
104110,229,116.5,143.3,581,10.4,1.9,42,86.0,42,Sunny,Moderate,33,29.0,High
104111,164,,189.8,561,7.9,5.1,56,67.0,478,Snowy,Good,85,49.1,High
104112,80,116.2,,357,1.1,12.7,30,50.0,209,Rainy,Excellent,32,61.0,Moderate
104113,31,34.9,55.5,983,1.8,2.4,36,80.0,424,Sunny,Excellent,109,79.5,Low
104114,25,51.6,45.6,832,5.5,2.8,75,68.0,47,Sunny,Moderate,25,80.2,Low
104115,237,72.5,10.0,391,10.2,-2.8,72,49.0,311,Rainy,Poor,28,43.2,High
104116,46,141.8,160.8,682,2.7,37.8,86,31.0,219,Sunny,Excellent,50,63.6,Moderate
104117,155,140.1,33.3,582,9.1,6.0,21,61.0,366,Sunny,Poor,64,47.5,High
104118,230,35.0,61.2,419,3.4,36.1,48,33.0,195,Rainy,Good,103,48.0,High
104119,143,56.9,72.6,365,3.0,16.9,76,36.0,471,Windy,Good,24,60.2,Moderate
104120,125,26.7,127.7,418,9.9,26.6,53,,171,Sunny,Excellent,56,64.7,Moderate
104121,212,,93.6,402,0.5,-1.2,97,54.0,236,Cloudy,Moderate,26,42.3,High
104122,204,71.8,151.7,1034,7.3,24.2,21,38.0,456,Rainy,Good,72,43.3,High
104123,112,135.6,21.7,1123,0.5,9.5,94,55.0,174,Rainy,Moderate,20,57.0,Moderate
104124,128,139.9,36.0,728,8.8,-0.2,50,93.0,433,Foggy,Good,25,49.1,High
104125,118,60.6,114.8,1150,9.1,40.4,96,47.0,499,Rainy,Moderate,48,61.0,Moderate
104126,187,76.3,80.8,812,9.8,25.2,63,31.0,31,Rainy,Excellent,66,50.0,Moderate
104127,161,135.0,72.1,876,2.0,7.1,75,30.0,223,Foggy,Excellent,25,48.2,High
104128,54,122.0,24.1,1131,1.4,16.0,73,77.0,53,Sunny,Excellent,108,66.7,Moderate
104129,195,5.5,198.1,1028,5.5,12.8,72,92.0,422,Sunny,Moderate,109,45.1,High
104130,103,51.4,,412,3.0,30.0,93,65.0,468,Cloudy,Moderate,15,61.0,Moderate
104131,75,66.2,35.5,610,6.7,25.4,95,92.0,185,Cloudy,Excellent,64,67.6,Moderate
104132,196,38.3,23.7,849,5.7,-4.0,65,55.0,491,Sunny,Good,41,53.4,Moderate
104133,160,33.9,214.7,470,1.6,4.9,73,35.0,233,Sunny,Moderate,48,52.9,Moderate
104134,208,10.5,153.0,589,8.1,18.9,50,55.0,316,Rainy,Good,26,48.2,High
104135,249,98.3,97.7,814,8.8,17.3,43,72.0,230,Windy,Poor,88,31.3,High
104136,68,43.1,157.4,456,10.6,20.8,44,30.0,109,Sunny,Poor,70,71.7,Moderate
104137,65,12.6,168.8,529,4.4,30.7,54,38.0,474,Cloudy,Moderate,47,74.5,Moderate
104138,132,38.5,173.8,365,3.7,29.1,76,56.0,366,Sunny,Moderate,79,57.3,Moderate
104139,209,121.3,110.4,704,2.1,13.6,91,32.0,99,Rainy,Moderate,25,39.1,High
104140,155,128.5,100.3,658,2.0,38.9,88,90.0,199,Cloudy,Good,37,42.7,High
104141,62,75.0,12.3,1076,3.5,-1.9,47,31.0,210,Foggy,Good,117,76.1,Low
104142,167,65.3,204.6,938,10.8,24.2,95,60.0,220,Sunny,Excellent,21,45.9,High
104143,143,146.8,136.7,1086,1.0,42.5,52,94.0,402,Cloudy,Poor,40,40.4,High
104144,116,34.1,52.7,954,2.9,22.5,72,47.0,324,Sunny,Moderate,18,67.7,Moderate
104145,109,36.2,203.1,530,0.9,17.8,35,35.0,149,Cloudy,Excellent,41,62.4,Moderate
104146,58,47.3,202.1,523,3.0,1.7,45,71.0,162,Windy,Good,35,66.7,Moderate
104147,104,30.0,217.7,703,1.0,35.5,31,97.0,393,Foggy,Good,8,57.1,Moderate
104148,196,60.0,193.6,703,5.6,13.7,96,33.0,142,Cloudy,Moderate,10,44.5,High
104149,211,137.1,219.5,568,4.8,30.1,50,33.0,257,Windy,Good,54,31.3,High
104150,81,94.2,61.4,1004,1.9,4.9,46,94.0,244,Sunny,Moderate,89,61.6,Moderate
104151,125,64.7,186.9,664,1.9,-2.9,55,,489,Sunny,Excellent,81,53.4,Moderate
104152,126,140.5,182.8,783,6.9,10.3,78,72.0,149,Windy,Moderate,42,44.1,High
104153,73,12.0,58.5,631,4.3,9.1,22,84.0,111,Sunny,Good,83,74.1,Moderate
104154,145,,30.7,608,0.6,38.7,51,48.0,98,Sunny,Excellent,9,63.3,Moderate
104155,28,87.1,215.7,908,10.1,38.2,34,,102,Cloudy,Moderate,42,68.7,Moderate
104156,107,94.3,72.2,354,4.5,21.7,94,87.0,210,Cloudy,Moderate,28,57.1,Moderate
104157,56,10.7,192.9,923,6.5,-4.1,85,59.0,494,Sunny,Poor,22,73.1,Moderate
104158,68,63.4,10.9,945,9.7,6.4,82,36.0,11,Windy,Moderate,97,76.0,Low
104159,60,99.1,14.4,994,4.4,27.0,20,98.0,380,Cloudy,Good,36,66.8,Moderate
104160,36,106.2,107.8,743,9.0,0.1,94,93.0,225,Cloudy,Poor,75,66.1,Moderate
104161,107,97.5,60.1,685,10.1,30.0,24,31.0,445,Sunny,Moderate,98,62.9,Moderate
104162,40,51.5,154.9,412,1.9,-4.4,25,96.0,300,Cloudy,Good,106,69.3,Moderate
104163,70,18.6,128.8,1142,9.8,29.1,24,38.0,441,Snowy,Good,94,74.9,Moderate
104164,78,66.9,26.3,393,1.3,37.2,92,52.0,147,Foggy,Poor,76,71.4,Moderate
104165,186,23.7,44.2,502,3.0,18.5,47,43.0,178,Foggy,Moderate,93,57.2,Moderate
104166,202,142.4,91.5,1131,8.9,36.5,88,83.0,6,Cloudy,Moderate,34,33.7,High
104167,60,73.9,49.0,1032,9.9,34.1,63,74.0,151,Foggy,Excellent,92,70.5,Moderate
