DIGITAL_ID,INDOOR_TEMPERATURE_C,INDOOR_HUMIDITY_PERCENT,INDOOR_AQI,INDOOR_CO2_PPM,BEDROOM_NOISE_DB,BEDROOM_LIGHT_LUX,SMART_LIGHTING_HOURS,HVAC_USAGE_HOURS,WATER_CONSUMPTION_LITERS,ENERGY_CONSUMPTION_KWH,SMARTWATCH_CONNECTED,SMART_SCALE_WEIGHT_KG,AIR_PURIFIER,SLEEP_ENVIRONMENT_SCORE,SMART_HOME_STATUS
103001,17.3,39,39,1263.0,62.0,7,6.4,3.3,173.2,22.3,Yes,65.5,No,70.9,Good
103002,20.4,33,40,1289.0,31.0,51,6.2,16.8,155.0,8.3,Yes,78.6,No,82.6,Good
103003,21.8,31,29,821.0,31.0,115,7.6,9.5,87.2,13.4,Yes,96.1,No,75.3,Good
103004,28.7,32,63,1275.0,69.0,68,9.7,5.0,60.6,7.2,Yes,60.2,No,45.5,Poor
103005,24.7,36,135,1101.0,23.0,20,11.0,16.8,139.2,21.6,Yes,55.1,No,91.2,Excellent
103006,19.0,45,24,737.0,47.0,26,5.9,11.3,332.1,26.2,Yes,74.8,No,77.2,Good
103007,24.5,60,66,665.0,28.0,37,9.0,8.7,337.6,26.6,No,88.7,No,84.3,Good
103008,18.4,39,88,1202.0,,4,6.7,10.4,293.8,20.8,No,69.0,Yes,71.6,Good
103009,26.2,48,23,759.0,51.0,84,10.6,13.5,155.2,11.7,Yes,63.7,Yes,58.7,Fair
103010,21.6,57,100,1413.0,32.0,60,4.0,2.8,93.1,20.5,Yes,64.5,Yes,85.9,Excellent
103011,22.7,46,23,616.0,53.0,7,5.1,15.6,228.7,26.2,Yes,87.3,Yes,82.6,Good
103012,27.0,57,108,720.0,38.0,85,7.1,17.3,244.0,19.5,No,66.4,No,62.1,Fair
103013,19.1,48,42,1249.0,33.0,17,12.7,10.2,177.4,13.6,Yes,59.1,Yes,88.8,Excellent
103014,18.8,66,10,1118.0,24.0,3,8.9,12.3,257.5,27.8,Yes,71.2,No,95.6,Excellent
103015,21.2,52,43,1391.0,46.0,3,13.6,15.5,274.0,25.4,No,40.9,No,94.9,Excellent
103016,26.1,49,28,1352.0,47.0,36,3.2,6.7,284.9,26.7,No,62.2,No,73.4,Good
103017,18.4,42,13,1116.0,45.0,14,7.5,17.9,200.7,27.3,Yes,97.4,No,76.3,Good
103018,16.0,42,86,1384.0,29.0,37,7.0,12.2,287.5,13.0,Yes,89.8,Yes,76.4,Good
103019,21.6,40,67,1295.0,43.0,26,9.2,7.6,57.6,26.1,No,59.6,No,84.4,Good
103020,24.7,44,146,686.0,36.0,84,11.7,12.2,254.1,18.0,No,89.1,No,72.9,Good
103021,26.6,46,112,1156.0,35.0,47,12.1,9.4,120.7,3.1,Yes,63.8,No,74.6,Good
103022,21.6,57,76,895.0,36.0,45,10.0,2.0,131.2,19.8,No,54.5,No,89.0,Excellent
103023,21.8,48,125,941.0,20.0,45,9.7,14.3,77.4,15.2,Yes,64.1,Yes,95.9,Excellent
103024,26.5,33,129,1034.0,40.0,47,13.4,10.2,107.7,9.7,Yes,76.8,Yes,70.5,Good
103025,17.4,51,31,1338.0,66.0,58,6.6,14.3,347.6,29.2,Yes,111.1,No,51.5,Fair
103026,21.8,51,121,1452.0,68.0,117,12.0,2.8,174.6,3.5,Yes,63.2,No,53.0,Fair
103027,23.6,66,84,1097.0,62.0,119,13.1,9.7,328.3,28.5,Yes,72.8,Yes,50.0,Fair
103028,24.3,68,145,474.0,41.0,3,7.9,13.8,98.9,6.5,Yes,95.3,No,91.1,Excellent
103029,21.5,63,41,897.0,24.0,74,10.7,17.8,111.2,12.6,Yes,81.7,Yes,82.3,Good
103030,23.1,62,76,1121.0,55.0,18,6.5,15.9,217.3,13.7,No,55.5,No,80.6,Good
103031,16.0,69,13,707.0,40.0,56,3.9,15.6,154.9,22.5,Yes,75.2,No,64.3,Fair
103032,21.0,62,39,1103.0,28.0,18,9.0,4.5,243.2,8.0,Yes,61.0,Yes,94.2,Excellent
103033,24.4,41,22,1283.0,46.0,90,4.4,15.1,176.6,29.6,No,59.1,No,58.9,Fair
103034,20.1,31,30,652.0,67.0,103,7.5,3.0,293.5,23.0,Yes,63.1,Yes,49.7,Poor
103035,23.2,57,50,1335.0,31.0,41,12.5,3.6,179.5,24.1,Yes,75.3,No,90.0,Excellent
103036,24.3,39,130,796.0,37.0,91,3.0,2.0,221.7,5.0,Yes,67.0,Yes,68.3,Fair
103037,22.0,51,28,1385.0,54.0,4,2.4,15.4,146.3,15.3,No,41.5,Yes,83.0,Good
103038,23.5,46,57,1452.0,34.0,47,9.3,1.9,261.2,28.5,Yes,65.8,Yes,86.2,Excellent
103039,20.1,55,95,893.0,69.0,24,6.0,2.5,246.4,9.6,Yes,57.1,Yes,71.0,Good
103040,22.4,32,72,1358.0,63.0,66,7.0,4.4,169.1,6.1,No,62.2,No,64.6,Fair
103041,24.8,36,46,1391.0,49.0,25,6.9,10.3,132.8,15.6,Yes,72.3,Yes,74.1,Good
103042,23.5,37,40,501.0,64.0,73,3.0,15.8,234.2,28.1,No,68.6,Yes,61.4,Fair
103043,21.2,49,83,1226.0,52.0,87,2.0,7.5,332.9,15.6,Yes,82.6,No,63.0,Fair
103044,23.7,41,116,576.0,55.0,61,12.8,9.8,89.8,13.3,Yes,87.4,No,70.9,Good
103045,25.1,64,112,1383.0,59.0,92,4.6,3.0,289.7,20.2,Yes,66.5,No,55.6,Fair
103046,16.9,46,119,1326.0,49.0,108,7.1,4.8,212.9,28.2,Yes,40.3,No,49.0,Poor
103047,26.5,57,29,631.0,45.0,6,13.7,2.4,207.7,3.4,Yes,72.3,No,78.2,Good
103048,22.0,70,148,,,43,11.9,7.4,338.5,6.3,Yes,79.6,Yes,83.7,Good
103049,24.3,39,95,1160.0,56.0,86,3.3,10.6,231.8,5.7,Yes,62.1,Yes,62.2,Fair
103050,26.6,51,53,1331.0,,109,8.1,5.1,299.2,4.4,No,69.4,Yes,46.2,Poor
103051,18.9,67,91,665.0,50.0,26,10.8,15.2,204.3,10.5,Yes,64.0,Yes,72.4,Good
103052,20.9,62,73,1156.0,36.0,41,10.4,17.7,125.0,8.4,Yes,57.3,Yes,86.8,Excellent
103053,22.1,51,131,1454.0,36.0,72,11.1,2.2,258.3,17.4,Yes,63.3,No,83.9,Good
103054,20.6,66,96,855.0,53.0,107,7.5,0.3,327.0,11.2,Yes,71.9,Yes,61.0,Fair
103055,28.2,42,74,658.0,43.0,55,4.1,14.2,302.4,13.3,Yes,68.9,No,66.9,Fair
103056,20.4,56,64,830.0,52.0,2,7.6,3.4,109.5,28.4,Yes,61.8,No,85.7,Excellent
103057,21.3,44,83,868.0,23.0,12,9.8,6.4,145.1,6.4,No,55.1,No,100.0,Excellent
103058,23.6,51,126,1046.0,28.0,69,9.3,7.1,205.1,12.9,Yes,55.6,No,80.2,Good
103059,19.4,59,138,846.0,21.0,58,2.8,16.5,221.5,9.2,Yes,55.3,Yes,85.2,Excellent
103060,21.8,69,146,1182.0,54.0,37,2.8,11.9,108.1,17.4,Yes,83.1,Yes,79.5,Good
103061,24.0,66,104,,57.0,84,13.6,0.7,119.0,22.6,Yes,45.2,No,66.5,Fair
103062,22.0,63,108,861.0,64.0,82,3.8,0.3,277.6,24.9,Yes,66.1,Yes,64.9,Fair
103063,22.7,63,121,595.0,34.0,88,5.5,3.6,269.1,16.4,Yes,72.4,Yes,72.3,Good
103064,21.4,64,61,435.0,62.0,102,11.2,5.7,301.8,25.9,Yes,75.5,Yes,50.6,Fair
103065,18.5,48,42,466.0,61.0,67,6.9,8.7,329.9,24.0,Yes,58.4,No,58.9,Fair
103066,24.0,37,13,1044.0,22.0,85,4.2,15.1,142.5,6.4,Yes,46.5,Yes,79.6,Good
103067,28.3,68,96,1434.0,,68,7.6,5.7,307.9,8.9,Yes,39.2,No,57.8,Fair
103068,23.1,62,84,721.0,60.0,0,8.8,6.8,249.8,20.8,Yes,61.0,Yes,83.8,Good
